a	-0.077	0.0	0.0
-a	0.000	0.0	0.0
abakáda	0.000	0.0	0.0
abága	0.000	0.0	0.0
abalóryo	0.000	0.0	0.0
ábay	0.000	0.0	0.0
abáw	0.586	0.0	0.0
aberíya	-0.599	0.0	0.0
abí’	0.599	0.0	0.0
ábi’ábi	0.153	0.0	0.0
nan	0.765	0.0	0.0
abogádo	0.000	0.0	0.0
abóso	-0.637	0.0	0.0
nan	-0.494	0.0	0.0
ábri	0.000	0.0	0.0
Abríl	0.000	0.0	0.0
ábtik	0.735	0.0	0.0
abú	0.000	0.0	0.0
abúnu	0.000	0.0	0.0
nan	0.000	0.0	0.0
abút	0.026	0.0	0.0
nan	-0.681	0.0	0.0
Alabútun	0.000	0.0	0.0
ábyan	0.494	0.0	0.0
ákig	-0.836	0.0	0.0
nan	-0.718	0.0	0.0
akú	0.000	0.0	0.0
áku’	0.440	0.0	0.0
ákun	0.000	0.0	0.0
ádlaw	0.000	0.0	0.0
ádlaw’ádlaw	0.000	0.0	0.0
-ado	0.000	0.0	0.0
ága	0.000	0.0	0.0
agálun	0.000	0.0	0.0
ágaw	0.000	0.0	0.0
ágay	0.000	0.0	0.0
ágbay	0.000	0.0	0.0
ágda	0.153	0.0	0.0
ági	0.000	0.0	0.0
nan	0.000	0.0	0.0
agí’	0.000	0.0	0.0
nan	0.000	0.0	0.0
Agósto	0.000	0.0	0.0
agrimensór	0.000	0.0	0.0
ágsa	0.000	0.0	0.0
nan	0.000	0.0	0.0
ágsik	0.000	0.0	0.0
ágtang	0.000	0.0	0.0
agúd	0.000	0.0	0.0
águm	0.000	0.0	0.0
nan	0.000	0.0	0.0
ágwa	0.000	0.0	0.0
agwánta	-0.542	0.0	0.0
ahá’	0.000	0.0	0.0
ahénsya	0.000	0.0	0.0
ahénte	0.000	0.0	0.0
áhos	0.000	0.0	0.0
alabá’ab	0.000	0.0	0.0
álak	-0.103	0.0	0.0
alágad	0.000	0.0	0.0
nan	0.599	0.0	0.0
aláhas	0.000	0.0	0.0
álam	0.527	0.0	0.0
nan	0.856	0.0	0.0
nan	0.758	0.0	0.0
alámbre	0.000	0.0	0.0
alangá’ang	0.000	0.0	0.0
nan	0.000	0.0	0.0
álang’álang	-0.340	0.0	0.0
nan	-0.273	0.0	0.0
alangáy	0.000	0.0	0.0
alás	0.000	0.0	0.0
álat	0.000	0.0	0.0
nan	0.000	0.0	0.0
alát	0.000	0.0	0.0
álay	-0.318	0.0	0.0
aláy’ay	0.687	0.0	0.0
alkálde	0.000	0.0	0.0
alkánse	-0.318	0.0	0.0
nan	-0.421	0.0	0.0
nan	0.000	0.0	0.0
alkansíya	-0.202	0.0	0.0
alkítran	0.000	0.0	0.0
alibángbang	0.000	0.0	0.0
aligútgut	-0.557	0.0	0.0
alimángu	0.000	0.0	0.0
alipúlus	0.000	0.0	0.0
alíntun	0.494	0.0	0.0
alísto	0.572	0.0	0.0
almasín	0.000	0.0	0.0
almidól	0.000	0.0	0.0
almiránte	0.318	0.0	0.0
alpabéto	0.000	0.0	0.0
alpómbra	0.000	0.0	0.0
álsa	0.000	0.0	0.0
alúm	0.000	0.0	0.0
alúng’ung	0.000	0.0	0.0
áman	0.000	0.0	0.0
amargóso	-0.421	0.0	0.0
amát’amát	0.000	0.0	0.0
nan	0.494	0.0	0.0
amáy	0.000	0.0	0.0
ámba	0.000	0.0	0.0
nan	0.710	0.0	0.0
ámbit	0.296	0.0	0.0
ámbung	0.735	0.0	0.0
nan	0.791	0.0	0.0
